Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,35053,ADANIENSOL 27 MAR 2025,2025-03-27,XX,0,ADANIENSOL 27 MAR 2025,0.05,625,31250,1,ADANIENSOL,N,INE931S01010,ADANIENSOL 27 MAR 2025_20250327,XX
N,D,35054,MIDCPNIFTY 27 MAR 2025 CE 8575.00,2025-03-27,CE,8575,MIDCPNIFTY 27 MAR 2025 CE 8575.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 8575.00_20250327_CE_8575,XX
N,D,35055,MIDCPNIFTY 27 MAR 2025 PE 8575.00,2025-03-27,PE,8575,MIDCPNIFTY 27 MAR 2025 PE 8575.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 8575.00_20250327_PE_8575,XX
N,D,35056,MIDCPNIFTY 27 MAR 2025 CE 8625.00,2025-03-27,CE,8625,MIDCPNIFTY 27 MAR 2025 CE 8625.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 8625.00_20250327_CE_8625,XX
N,D,35057,ADANIENT 27 MAR 2025,2025-03-27,XX,0,ADANIENT 27 MAR 2025,0.05,300,9000,1,ADANIENT,Y,INE423A01024,ADANIENT 27 MAR 2025_20250327,XX
N,D,35058,MIDCPNIFTY 24 APR 2025 CE 14175.00,2025-04-24,CE,14175,MIDCPNIFTY 24 APR 2025 CE 14175.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 14175.00_20250424_CE_14175,XX
N,D,35059,NIFTYNXT50 27 MAR 2025 CE 38500.00,2025-03-27,CE,38500,NIFTYNXT50 27 MAR 2025 CE 38500.00,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 27 MAR 2025 CE 38500.00_20250327_CE_38500,XX
N,D,35060,ADANIGREEN 27 MAR 2025,2025-03-27,XX,0,ADANIGREEN 27 MAR 2025,0.05,375,22500,1,ADANIGREEN,N,INE364U01010,ADANIGREEN 27 MAR 2025_20250327,XX
N,D,35061,MIDCPNIFTY 24 APR 2025 PE 14175.00,2025-04-24,PE,14175,MIDCPNIFTY 24 APR 2025 PE 14175.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 14175.00_20250424_PE_14175,XX
N,D,35062,MIDCPNIFTY 24 APR 2025 CE 16400.00,2025-04-24,CE,16400,MIDCPNIFTY 24 APR 2025 CE 16400.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 16400.00_20250424_CE_16400,XX
N,D,35063,MIDCPNIFTY 27 MAR 2025 PE 8625.00,2025-03-27,PE,8625,MIDCPNIFTY 27 MAR 2025 PE 8625.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 8625.00_20250327_PE_8625,XX
N,D,35064,MIDCPNIFTY 27 MAR 2025 CE 8650.00,2025-03-27,CE,8650,MIDCPNIFTY 27 MAR 2025 CE 8650.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 8650.00_20250327_CE_8650,XX
N,D,35065,NIFTYNXT50 27 MAR 2025 PE 38500.00,2025-03-27,PE,38500,NIFTYNXT50 27 MAR 2025 PE 38500.00,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 27 MAR 2025 PE 38500.00_20250327_PE_38500,XX
N,D,35066,MIDCPNIFTY 27 MAR 2025 PE 8650.00,2025-03-27,PE,8650,MIDCPNIFTY 27 MAR 2025 PE 8650.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 8650.00_20250327_PE_8650,XX
N,D,35067,MIDCPNIFTY 24 APR 2025 PE 16400.00,2025-04-24,PE,16400,MIDCPNIFTY 24 APR 2025 PE 16400.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 16400.00_20250424_PE_16400,XX
N,D,35068,MIDCPNIFTY 27 MAR 2025 CE 8675.00,2025-03-27,CE,8675,MIDCPNIFTY 27 MAR 2025 CE 8675.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 CE 8675.00_20250327_CE_8675,XX
N,D,35069,MIDCPNIFTY 27 MAR 2025 PE 8675.00,2025-03-27,PE,8675,MIDCPNIFTY 27 MAR 2025 PE 8675.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025 PE 8675.00_20250327_PE_8675,XX
N,D,35070,MIDCPNIFTY 24 APR 2025 CE 6300.00,2025-04-24,CE,6300,MIDCPNIFTY 24 APR 2025 CE 6300.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 6300.00_20250424_CE_6300,XX
N,D,35071,MIDCPNIFTY 24 APR 2025 PE 6300.00,2025-04-24,PE,6300,MIDCPNIFTY 24 APR 2025 PE 6300.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 6300.00_20250424_PE_6300,XX
N,D,35072,MIDCPNIFTY 24 APR 2025 CE 6400.00,2025-04-24,CE,6400,MIDCPNIFTY 24 APR 2025 CE 6400.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 6400.00_20250424_CE_6400,XX
N,D,35073,MIDCPNIFTY 24 APR 2025 PE 6400.00,2025-04-24,PE,6400,MIDCPNIFTY 24 APR 2025 PE 6400.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 6400.00_20250424_PE_6400,XX
N,D,35074,NIFTYNXT50 27 MAR 2025 CE 39000.00,2025-03-27,CE,39000,NIFTYNXT50 27 MAR 2025 CE 39000.00,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 27 MAR 2025 CE 39000.00_20250327_CE_39000,XX
N,D,35075,NIFTYNXT50 27 MAR 2025 PE 39000.00,2025-03-27,PE,39000,NIFTYNXT50 27 MAR 2025 PE 39000.00,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 27 MAR 2025 PE 39000.00_20250327_PE_39000,XX
N,D,35076,MIDCPNIFTY 24 APR 2025 CE 8525.00,2025-04-24,CE,8525,MIDCPNIFTY 24 APR 2025 CE 8525.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 8525.00_20250424_CE_8525,XX
N,D,35077,MIDCPNIFTY 24 APR 2025 PE 8525.00,2025-04-24,PE,8525,MIDCPNIFTY 24 APR 2025 PE 8525.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 8525.00_20250424_PE_8525,XX
N,D,35078,MIDCPNIFTY 24 APR 2025 CE 8550.00,2025-04-24,CE,8550,MIDCPNIFTY 24 APR 2025 CE 8550.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 8550.00_20250424_CE_8550,XX
N,D,35079,MIDCPNIFTY 24 APR 2025 PE 8550.00,2025-04-24,PE,8550,MIDCPNIFTY 24 APR 2025 PE 8550.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 8550.00_20250424_PE_8550,XX
N,D,35080,MIDCPNIFTY 24 APR 2025 CE 8575.00,2025-04-24,CE,8575,MIDCPNIFTY 24 APR 2025 CE 8575.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 8575.00_20250424_CE_8575,XX
N,D,35081,MIDCPNIFTY 24 APR 2025 PE 8575.00,2025-04-24,PE,8575,MIDCPNIFTY 24 APR 2025 PE 8575.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 8575.00_20250424_PE_8575,XX
N,D,35082,ACC 27 MAR 2025 CE 2540.00,2025-03-27,CE,2540,ACC 27 MAR 2025 CE 2540.00,0.05,300,12000,1,ACC,N,INE012A01025,ACC 27 MAR 2025 CE 2540.00_20250327_CE_2540,XX
N,D,35083,FINNIFTY 27 MAR 2025 CE 29600.00,2025-03-27,CE,29600,FINNIFTY 27 MAR 2025 CE 29600.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025 CE 29600.00_20250327_CE_29600,XX
N,D,35084,MIDCPNIFTY 24 APR 2025 CE 8625.00,2025-04-24,CE,8625,MIDCPNIFTY 24 APR 2025 CE 8625.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 8625.00_20250424_CE_8625,XX
N,D,35085,ACC 27 MAR 2025 PE 2540.00,2025-03-27,PE,2540,ACC 27 MAR 2025 PE 2540.00,0.05,300,12000,1,ACC,N,INE012A01025,ACC 27 MAR 2025 PE 2540.00_20250327_PE_2540,XX
N,D,35086,NIFTY 13 MAR 2025 CE 17550.00,2025-03-13,CE,17550,NIFTY 13 MAR 2025 CE 17550.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 13 MAR 2025 CE 17550.00_20250313_CE_17550,XX
N,D,35087,MIDCPNIFTY 24 APR 2025 PE 8625.00,2025-04-24,PE,8625,MIDCPNIFTY 24 APR 2025 PE 8625.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 8625.00_20250424_PE_8625,XX
N,D,35088,MIDCPNIFTY 24 APR 2025 CE 8650.00,2025-04-24,CE,8650,MIDCPNIFTY 24 APR 2025 CE 8650.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 CE 8650.00_20250424_CE_8650,XX
N,D,35089,MIDCPNIFTY 24 APR 2025 PE 8650.00,2025-04-24,PE,8650,MIDCPNIFTY 24 APR 2025 PE 8650.00,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 24 APR 2025 PE 8650.00_20250424_PE_8650,XX
N,D,35090,NIFTY 13 MAR 2025 PE 17550.00,2025-03-13,PE,17550,NIFTY 13 MAR 2025 PE 17550.00,0.05,75,1800,1,NIFTY,N,NIFTY,NIFTY 13 MAR 2025 PE 17550.00_20250313_PE_17550,XX
N,D,35091,ACC 24 APR 2025 CE 2540.00,2025-04-24,CE,2540,ACC 24 APR 2025 CE 2540.00,0.05,300,12000,1,ACC,N,INE012A01025,ACC 24 APR 2025 CE 2540.00_20250424_CE_2540,XX
N,D,35092,ACC 24 APR 2025 PE 2540.00,2025-04-24,PE,2540,ACC 24 APR 2025 PE 2540.00,0.05,300,12000,1,ACC,N,INE012A01025,ACC 24 APR 2025 PE 2540.00_20250424_PE_2540,XX
N,D,35093,FINNIFTY 27 MAR 2025 PE 29600.00,2025-03-27,PE,29600,FINNIFTY 27 MAR 2025 PE 29600.00,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025 PE 29600.00_20250327_PE_29600,XX
N,D,35094,NIFTYNXT50 27 MAR 2025 CE 39500.00,2025-03-27,CE,39500,NIFTYNXT50 27 MAR 2025 CE 39500.00,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 27 MAR 2025 CE 39500.00_20250327_CE_39500,XX
N,D,35095,ACC 29 MAY 2025 CE 2880.00,2025-05-29,CE,2880,ACC 29 MAY 2025 CE 2880.00,0.05,300,12000,1,ACC,N,INE012A01025,ACC 29 MAY 2025 CE 2880.00_20250529_CE_2880,XX
N,D,35096,ACC 29 MAY 2025 PE 2880.00,2025-05-29,PE,2880,ACC 29 MAY 2025 PE 2880.00,0.05,300,12000,1,ACC,N,INE012A01025,ACC 29 MAY 2025 PE 2880.00_20250529_PE_2880,XX
N,D,35097,ADANIENSOL 27 MAR 2025 CE 1120.00,2025-03-27,CE,1120,ADANIENSOL 27 MAR 2025 CE 1120.00,0.05,625,31250,1,ADANIENSOL,N,INE931S01010,ADANIENSOL 27 MAR 2025 CE 1120.00_20250327_CE_1120,XX
